loan_status,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m
Fully Paid,1057272,1288832,27050,27050,27025, 60 months,18.64,696.35,E,E1,Snow College,5 years,MORTGAGE,65000,Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1057272,"  Borrower added on 12/08/11 > We have two credit cards with close to $5,000 each, one with 29% interest and another with 15% interest. We will use $10,000 of the loan to pay these off. We have various other smaller debts that all add up and we want to consolidate all of them.<br>",debt_consolidation,Consolidate CCs and pay back family ,847xx,UT,19.75,0,Sep-1998,0,68,,12,0,26469,80.2,29,f,0,0,40977.7699708,40939.9,27050,13927.77,0,0,0,Nov-2015,8945.67,,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1061675,1293692,22500,22500,22500, 60 months,17.27,562.46,D,D3,McKesson Corporation,3 years,MORTGAGE,67735,Source Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1061675,"  Borrower added on 12/12/11 > Consolidating credit card debt.  Your investment in securing my financial future is greatly appreciated!!<br><br>  Borrower added on 12/13/11 > I will be a good borrower because I have a secure job, I am never late on payments, and I am working completely from a budget I have devised that takes into account this loan plus mortgage, bills, and living.  I am smart with money but was just hit up with a lot of expenses due to relocation to another state.  Your investment is secure with me.<br>",debt_consolidation,Debt Consolidation,295xx,SC,18.8,0,Mar-2004,2,,,8,0,18364,75.6,16,f,0,0,28139.2555062,28139.26,22500,5639.26,0,0,0,Mar-2014,7530.45,,May-2014,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Charged Off,1061661,1293676,20500,20500,20475, 60 months,12.69,463.2,B,B5,UltraTech Inc,< 1 year,RENT,47800,Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1061661,,debt_consolidation,Debt Consolidation,951xx,CA,28.32,0,Apr-1999,1,,,10,0,23823,52.2,20,f,0,0,7896.36,7886.8,3976.64,2960.71,0,959.01,9.33,Mar-2013,463.2,,Aug-2013,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1061656,1293671,12800,12800,12800, 36 months,12.42,427.72,B,B4,SDGIN,1 year,MORTGAGE,99600,Not Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1061656,,credit_card,A fresh new year with less CC debts,919xx,CA,19.95,0,Mar-2000,0,,,13,0,23893,89.8,25,f,0,0,15395.574467,15395.57,12800,2595.57,0,0,0,Dec-2014,435.51,,Dec-2014,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1061776,1293397,27575,27575,27575, 36 months,10.65,898.21,B,B2,Western Wyoming Community College,1 year,MORTGAGE,54000,Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1061776,"  Borrower added on 12/07/11 > I recently purchased my first home through an estate, so the house was empty for several months.  It is a solid house that has been well maintained, but several significant maintenance items are all coming due at once.  I do not want to get behind on maintenance now that I have my own house.  Additionally, I wish to solidify my financial position by consolidating other higher-interest debt into one loan so that it can be paid off much sooner.<br>",other,Home Improvement/Debt Consolidation,829xx,WY,12.27,0,Jan-1988,1,,,8,0,13057,67.7,16,f,0,0,32333.8265561,32333.83,27575,4758.83,0,0,0,Dec-2014,905.06,,Apr-2015,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1061767,1293387,7000,7000,7000, 36 months,12.69,234.82,B,B5,STUDIO INSTRUMENT RENTALS,8 years,RENT,49000,Not Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1061767,,debt_consolidation,DEBT CON,113xx,NY,14.42,0,Jun-2001,0,,,9,0,23864,97.4,17,f,0,0,8016.9,8016.9,7000,1016.9,0,0,0,Jul-2013,1333.97,,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Current,1052746,1284516,7600,7600,7575, 60 months,16.77,187.95,D,D2,Hyatt Hotel,1 year,RENT,33996,Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1052746,"  Borrower added on 12/07/11 > I will be using the money in buying shoe production for re-sale<br>I will stay on my monthly payment on top to finish on time or faster<br>I am planing on buying a home as well.<br> Borrower added on 12/12/11 > Great Service! I am planning to use more in the future Lending Club.<br> Borrower added on 12/15/11 > Great Response, good Service from Lending Club, I am planning in some investment, therefore I am open to other options for the upcoming future, and yes hopefully it is a reality.<br>",other,Other,750xx,TX,16.52,0,Feb-2000,2,,,6,0,4292,72.7,21,f,1940.93,1934.48,9069.01,9039.3,5659.08,3409.93,0,0,0,Dec-2015,187.95,Feb-2016,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Charged Off,1061643,1293657,29000,29000,29000, 60 months,12.42,651.27,B,B4,U.S.Postal Service,10+ years,RENT,65000,Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1061643,  Borrower added on 12/07/11 > Thanks for the loan. Writing one check will simplify and create a clean slate.<br>,debt_consolidation,Go Steelers,180xx,PA,7.22,0,Jan-2000,1,,,6,0,18918,57.7,24,f,0,0,14318.48,14318.48,8619.3,5699.18,0,0,0,Oct-2013,651.27,,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1061785,1293407,10000,10000,10000, 36 months,14.27,343.09,C,C2,US Navy,4 years,RENT,44160,Source Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1061785,,moving,move,234xx,VA,18.29,0,Jun-2004,0,,,6,0,14848,95.8,18,f,0,0,12347.0572414,12347.06,10000,2347.06,0,0,0,Jan-2015,355.91,,Jan-2015,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1061623,1293635,14125,14125,14125, 36 months,7.9,441.98,A,A4,Costco,5 years,RENT,32000,Source Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1061623,,debt_consolidation,Credit Cards,787xx,TX,22.54,0,Jul-2004,0,,,12,0,12709,60.8,21,f,0,0,15533.01,15533.01,14125,1408.01,0,0,0,Nov-2013,1843.42,,Dec-2013,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1030795,1260186,12000,12000,12000, 36 months,6.62,368.45,A,A2,Northwestern Mutual,< 1 year,MORTGAGE,94500,Source Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1030795,,debt_consolidation,Personal Loan,958xx,CA,4.17,0,Nov-2004,0,,,11,0,13285,35.3,16,f,0,0,13205.7861825,13205.79,12000,1205.79,0,0,0,May-2014,2907.39,,Jun-2014,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1061598,1293608,9575,9575,9575, 36 months,6.62,293.99,A,A2,JC Penney,3 years,RENT,19498,Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1061598,,credit_card,consolidation,232xx,VA,18.34,0,Oct-1998,0,,,7,0,13902,53.9,10,f,0,0,10493.8639419,10493.86,9575,918.86,0,0,0,Feb-2014,3164.13,,Feb-2014,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1061772,1293390,12000,8900,8900, 60 months,20.3,237.29,E,E5,Mayo Primary Care Center,1 year,RENT,30000,Not Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1061772,  Borrower added on 12/07/11 > Debt consolidation and medical expenses<br>,debt_consolidation,12-7-11 DEBT AND MEDICAL CONSOLIDATE,320xx,FL,18.76,1,Aug-1990,0,12,,8,0,8382,98.6,13,f,0,0,13908.290013,13908.29,8900,5008.29,0,0,0,Nov-2015,2992.95,,Nov-2015,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Charged Off,1058931,1290729,12000,12000,12000, 36 months,15.96,421.65,C,C5,UNITED LIGHTING & ELECTRICAL GROUP,9 years,MORTGAGE,88000,Not Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1058931,,debt_consolidation,Debt Consolidation,117xx,NY,10.6,0,Oct-2002,3,,,11,0,11434,77.8,20,f,0,0,4637.54,4637.54,3074.42,1552.18,0,10.94,0,Nov-2012,421.65,,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1061355,1293371,10000,10000,10000, 36 months,12.69,335.45,B,B5,staff die cutting LLC,4 years,RENT,45000,Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1061355,,credit_card,pay credit card,070xx,NJ,22.61,0,Nov-1998,0,,,14,0,10344,74.4,18,f,0,0,12070.5550559,12070.56,10000,2070.56,0,0,0,Dec-2014,355.55,,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1061593,1293603,10000,10000,10000, 36 months,15.96,351.38,C,C5,Rescare,1 year,RENT,37500,Not Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1061593,  Borrower added on 12/08/11 > the monies will help to pay off credit cards that have higher rates<br>i pay all bills ontime no late fees<br>my monthly budgrt and this loan amount i will be able to save more<br>i have a very secure position and hope to remain in my current position for sometime<br>,debt_consolidation,safety net,010xx,MA,19.46,0,Jul-2002,3,,,12,0,17513,59.5,19,f,0,0,12644.0203045,12644.02,10000,2644.02,0,0,0,Dec-2014,366,,Dec-2015,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Current,1061581,1293591,25000,25000,25000, 60 months,14.27,585.22,C,C2,Sarasota Memorial Hospital,5 years,MORTGAGE,89000,Source Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1061581,,debt_consolidation,Get out of debt loan,342xx,FL,10.77,0,Jul-1994,1,,,8,0,17624,63.6,22,f,6517.25,6517.25,28074.44,28074.44,18482.75,9591.69,0,0,0,Dec-2015,585.22,Feb-2016,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1061583,1293593,24000,24000,24000, 36 months,9.91,773.4,B,B1,"Guidant Group, Inc.",4 years,RENT,120000,Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1061583,  Borrower added on 12/07/11 > consolidation of credit card debt and school loans<br>,debt_consolidation,Debt Consolidation,303xx,GA,14.17,0,Jan-1999,0,,,10,0,27994,47.7,18,f,0,0,27378.860245,27378.86,24000,3378.86,0,0,0,Feb-2014,7065.04,,Mar-2014,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1059572,1291176,14575,14575,14575, 36 months,10.65,474.76,B,B2,antico stone,7 years,RENT,35000,Not Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1059572,"  Borrower added on 12/07/11 > well this loan will held me pay some credit card fast.<br><br> Borrower added on 12/07/11 > my job has been stable seen i been working there four 7 year,<br>",credit_card,Credit Card Loan,070xx,NJ,16.46,0,Feb-2003,1,,,8,0,20169,58.5,14,f,0,0,17088.8222913,17088.82,14575,2513.82,0,0,0,Dec-2014,484.7,,Dec-2014,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1053004,1284580,9000,9000,9000, 36 months,7.51,280,A,A3,Washington University St Louis,< 1 year,MORTGAGE,50000,Source Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1053004,,debt_consolidation,Consolidating Debt from Home Repair,631xx,MO,4.44,0,Oct-1996,1,,,10,0,8556,34.1,15,f,0,0,9555.13,9555.13,9000,555.13,0,0,0,Apr-2013,1391.94,,May-2013,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Charged Off,1061496,1293299,10000,10000,10000, 36 months,13.49,339.31,C,C1,Oswego County Opportunities,10+ years,RENT,30000,Not Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1061496,,debt_consolidation,Credit Card Payoff,131xx,NY,20.96,0,Jun-2007,0,,,10,0,2780,32,11,f,0,0,4749.77,4749.77,3411.93,1328.05,0,9.79,0,Feb-2013,339.31,,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1051434,1283117,7125,7125,7125, 36 months,17.58,256.09,D,D4,University of Minnesota,7 years,RENT,25279.67,Not Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1051434,,credit_card,Credit Card Loan,551xx,MN,16.8,0,Jun-2005,0,,,3,0,11267,93.1,12,f,0,0,9215.10503532,9215.11,7125,2090.11,0,0,0,Dec-2014,266,,Dec-2014,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1058174,1289753,15000,15000,15000, 60 months,10.65,323.53,B,B2,USAirways Inc.,10+ years,RENT,29000,Not Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1058174,"  Borrower added on 12/07/11 > I've been working at the same company for 11 years now.  I always make my payments on time, I've paid off 2 car loans over the years. Just looking to pay off some credit cards and make one payment per month. Thank you. <br>",debt_consolidation,Debt Consolidation Loan,150xx,PA,15.14,0,Apr-1997,0,,,6,0,15795,81,14,f,0,0,18733.898779,18733.9,15000,3733.9,0,0,0,Mar-2015,5813.42,,Apr-2015,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1061547,1293554,13000,13000,13000, 36 months,13.49,441.1,C,C1,Bell and Howell,6 years,RENT,65000,Not Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1061547,  Borrower added on 12/07/11 > to consolidate credit cards to pay off my debt faster.<br>,debt_consolidation,Pay of Credit Card Debt,939xx,CA,17.11,0,Dec-1995,2,73,,18,0,11036,81.1,32,f,0,0,14823.19,14823.19,13000,1823.19,0,0,0,Mar-2013,8660.39,,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Current,1061317,1293331,12000,12000,12000, 60 months,12.69,271.14,B,B5,East Side Clinical Lab,7 years,RENT,30000,Not Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1061317,  Borrower added on 12/08/11 > I plan on paying off my credit cards and looking forward to having one payment..and need to pay off a few other bills as well...I work full time and have been with the same company for 7 years..<br> Borrower added on 12/09/11 > rent is 650.00 a month. I am responsible for 325.00 of that. my signifigant other is resposible for the other half and we split the utilities. I own my car paid the loan off about 5 yrs ago..I hoping to consolidate all of my credit cards to one payment. I am applying for a 60 month loan but want to try to have it paid off by 48 months<br><br>  Borrower added on 12/16/11 > all of my apr's are 20.99% or more.<br>,debt_consolidation,consolidation,028xx,RI,10.44,0,Mar-2001,0,,,5,0,6207,78.6,11,f,3060,3060,12998.56,12998.56,8939.99,4058.57,0,0,0,Jan-2016,271.14,Feb-2016,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1061306,1293319,18000,18000,17975, 60 months,20.3,479.9,E,E5,Clark County Fire Dept. ,2 years,RENT,68000,Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1061306,,credit_card,Credit Card Loan,891xx,NV,17.98,0,Nov-2004,2,,,10,0,11720,52.4,15,f,0,0,27675.6000222,27637.16,18000,9675.6,0,0,0,Oct-2015,1378.75,,Nov-2015,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1061515,1293518,30000,30000,29975, 60 months,14.27,702.26,C,C2,Indsoft,10+ years,RENT,90000,Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1061515,,small_business,Personal,750xx,TX,19.12,0,Apr-2002,1,,,11,0,21682,49,40,f,0,0,38694.8928068,38662.7,30000,8694.89,0,0,0,Jun-2014,18341.05,,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Charged Off,1058858,1290455,21600,21600,21600, 36 months,17.27,773.01,D,D3,,2 years,MORTGAGE,58600,Source Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1058858,,home_improvement,improvement,770xx,TX,10.85,0,Jun-2002,0,,,8,0,21912,95.3,18,f,0,0,2724.94,2724.94,930.13,614.53,0,1180.28,212.450400002,Feb-2012,773.01,,Jul-2012,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Current,1051045,1282508,7600,7600,7600, 60 months,16.77,187.95,D,D2,United Parcel Service,5 years,OWN,50000,Source Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1051045,"  Borrower added on 12/12/11 > Dear Investors,<br>I would like to say thank you to all the investors interested in making this loan possible. I still would like to have the $7600.00 indicated in my account. The purpose of the loan is to procure added product and to help with small expansion at my greenhouse. I have a rotating account that provides enough for my normal expenses but would like to have additional funds for the year. Beginning January 1, 2012 I will start propagating our seeds and will grow the plants until April when we will open our store and start our selling season. During April, May, and June I sell 60k +. At the end of the season I pay back the loans I accumulate. I will have four employees working until the end of June or until we sell out. I appreciate the current investors and hope that I can reach my goal of the full loan amount. <br><br>Sincere Thanks<br><br><br> Borrower added on 12/14/11 > Recently an investor requested that I answer a question but when I follow the link log into the account and come to the question page there is no question posted. If an investor recently asked a question I would like to give a reply. Please submit again. If any other questions from investors please let me know. Again I would like to let investors know what purpose this loan serves. <br>1. We are adding and employee this years Approx cost $2475.<br>2. We need funding for an urban renewal project for our city. Approx. cost $2800.<br>3. We are adding extra product this year because of demand. Approx. cost $2500. This is the cost of extra seeds.<br>4. We are looking to add a hand held seeder this years which will help us increase our productivity. Approx. Cost $1000. <br>Total cost is $8775. This a scaled down version and depending on the funding we may have to scale down further but again thank you so much for investing in our business.<br>",small_business,Small_Business Loan,572xx,SD,6.29,0,Apr-1996,0,68,83,13,1,8646,40.6,27,f,2081.12,2081.12,8982.99,8982.99,5518.88,3464.11,0,0,0,Dec-2015,187.95,Feb-2016,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1060415,1292169,7000,7000,7000, 36 months,12.42,233.91,B,B4,Los Angeles Unified School District ,10+ years,RENT,85000,Source Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1060415,,credit_card,Credit Card Refinance,913xx,CA,15.11,0,Jan-1997,2,,,15,0,16049,72.3,42,f,0,0,8334.66911936,8334.67,7000,1334.67,0,0,0,May-2014,2027.1,,May-2014,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1061279,1293090,7000,7000,7000, 36 months,8.9,222.28,A,A5,Oscar Inc,5 years,RENT,45000,Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1061279,,debt_consolidation,Debt Payoff,537xx,WI,24.48,0,Dec-1998,2,,,13,0,21556,71.1,23,f,0,0,8000.34122128,8000.34,7000,1000.34,0,0,0,Dec-2014,229.64,,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1058942,1290740,3600,3600,3600, 36 months,17.27,128.84,D,D3,Autism Speaks,7 years,MORTGAGE,44004,Source Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1058942,  Borrower added on 12/07/11 > Used car<br>,other,used car,085xx,NJ,5.59,1,Jul-2004,1,2,,3,0,8095,75.7,4,f,0,0,4636.8674645,4636.87,3600,1036.87,0,0,0,Dec-2014,131.37,,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1042958,1273259,3500,3500,3500, 36 months,12.69,117.41,B,B5,carolinas medical center,10+ years,MORTGAGE,84996,Not Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1042958,  Borrower added on 12/07/11 > This is to buy a car for my !6 year old. I have saved some money but needed a little bit more to get the car now.<br>,major_purchase,Personal,281xx,NC,5.36,2,Dec-1987,0,2,,6,0,11616,45.7,27,f,0,0,4225.27854632,4225.28,3500,725.28,0,0,0,Dec-2014,122.17,,Aug-2015,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1061251,1293059,5000,5000,5000, 36 months,8.9,158.77,A,A5,artisan digital,6 years,RENT,33000,Not Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1061251,,medical,my dad,070xx,NJ,16.47,0,Apr-2003,2,,,9,0,9194,29.7,14,f,0,0,5714.71311269,5714.71,5000,714.71,0,0,0,Dec-2014,163.01,,Dec-2014,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1058015,1289589,10000,10000,10000, 36 months,11.71,330.76,B,B3,State of CT Dept of Corrections/Parole,5 years,MORTGAGE,60000,Source Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1058015,  Borrower added on 12/09/11 > US AIR CC: $6000<br>CAP ONE CC $1950<br>CITGO $1000<br>ORCHARD BANK $1500<br>,debt_consolidation,Debt Consolidation,064xx,CT,17.3,0,Aug-1987,2,,,11,0,11512,87.2,32,f,0,0,11763.739374,11763.74,10000,1763.74,0,0,0,Mar-2014,3180.88,,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1059858,1291490,4500,4500,4500, 36 months,13.49,152.69,C,C1,Rove Pest Control,< 1 year,OWN,19200,Source Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1059858,,credit_card,Credi Card Payment,550xx,MN,19.56,0,Jan-2005,1,,,7,0,12070,67.8,9,f,0,0,5494.75102728,5494.75,4500,994.75,0,0,0,Dec-2014,159.18,,Dec-2014,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1061247,1293053,12000,12000,12000, 36 months,11.71,396.92,B,B3,pace collision,10+ years,RENT,62000,Not Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1061247,  Borrower added on 12/09/11 > on 12/8/11 an invester asked for credit card info citibal3426.10 pmt51.00 int13.99hsbc557.70 pmt25.00int19.99%<br><br> Borrower added on 12/09/11 > on 12/8/11 an invester asked for credit card info citibal3426.10 pmt51.00 int13.99hsbc557.70 pmt25.00int19.99%<br><br> Borrower added on 12/09/11 > on 12/8/11 an invester asked for credit card info citibal3426.10 pmt51.00 int13.99hsbc557.70 pmt25.00int19.99%<br><br> Borrower added on 12/09/11 > on12/8/11 an invester asked for credit card info hsbc.557.70pmt25.00int19.99% citi3426.10pmt51.00int13.99capitalone664.52pmt21.00int19.80 %chase2702.17pmt54.00int12.24% capitalone3997.33 pmt107.00 int19.80%hsbc2081.84pmt55.00int19.99% juniper2031.80 pmt36.00int8.99%<br>,debt_consolidation,no postage necessary,078xx,NJ,6.74,0,Jul-1997,0,,,5,0,10725,90.9,15,f,0,0,14285.9875091,14285.99,12000,2285.99,0,0,0,Dec-2014,407.57,,Dec-2014,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1061250,1293058,12000,12000,12000, 60 months,19.03,311.49,E,E2,Hartz Mountain Corportaion,1 year,RENT,38500,Not Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1061250,  Borrower added on 12/09/11 > I plan to use these funds to pay off all my credit cards. I have quite a good job but it required a lot of school! I find myself in a situation that while in school i racked up credit card debt and now I would like to consolidate it to make things easier for me financially. I haven't missed any credit card or car payments in probably 3 to 4 years now. I at least make the minimum payment for all of those bills.<br>,debt_consolidation,Credit Cards Suck,452xx,OH,10.91,2,Aug-2001,1,16,,15,0,9520,85,33,f,0,0,14472.92,14472.92,12000,2472.92,0,0,0,Feb-2013,10433.11,,Dec-2015,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1061245,1293051,10700,10700,10700, 36 months,12.42,357.55,B,B4,,4 years,RENT,68000,Source Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1061245,,debt_consolidation,Debt Consolidation Loan,860xx,AZ,16.41,0,Sep-2005,1,,,7,0,5192,66.6,12,f,0,0,12868.259108,12868.26,10700,2168.26,0,0,0,Dec-2014,369.35,,Dec-2014,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1060411,1292165,6000,6000,6000, 36 months,10.65,195.44,B,B2,Medical Associates of Brevard,1 year,RENT,30000,Not Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1060411,,credit_card,CC Assist,329xx,FL,19.36,0,Mar-2003,1,,,8,0,25900,78.6,13,f,0,0,6904.89,6904.89,6000,904.89,0,0,0,Dec-2013,2417.05,,Jan-2016,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1061416,1293209,20000,20000,20000, 36 months,7.9,625.81,A,A4,Shine Electronics Inc,10+ years,RENT,50000,Source Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1061416,"  Borrower added on 12/08/11 > Thank you for everyone's help! <br> Borrower added on 12/12/11 > Just verify my bank account, thanks so much for everyone's help again!<br>",wedding,Wedding loan,113xx,NY,12.84,0,Dec-2001,1,,,9,0,8399,39.8,12,f,0,0,22527.9003723,22527.9,20000,2527.9,0,0,0,Dec-2014,632.09,,Dec-2014,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
Fully Paid,1040053,1270014,10800,10800,10775, 60 months,16.77,267.08,D,D2,Texas A&M University,2 years,RENT,23000,Verified,Dec-2011,,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1040053,,debt_consolidation,Debt consolidation loan,778xx,TX,11.22,0,Dec-2005,1,40,,5,0,9952,64.2,10,f,0,0,11955.52,11927.86,10800,1155.52,0,0,0,Aug-2012,10098.93,,Aug-2012,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
